ean,pasillo,rubro,subrubro,descripcion,marca,imagen_url,nombre_supertop
7509546068558,Perfumeria,Cuidado Oral,Cepillo de Dientes e Hilo Dental,CEPILLOS COLGATE MINIONS + 6 AÑOS 2 X 1,Colgate,https://supertopar.vteximg.com.br/arquivos/ids/157510/519189.jpg,Cepillos Colgate Minions + 6 Años 2 x 1
7509546070285,Perfumeria,Cuidado Oral,Cepillo de Dientes e Hilo Dental,CEPILLOS COLGATE + 6 AÑOS BARBIE X 2UN,Colgate,https://supertopar.vteximg.com.br/arquivos/ids/157522/519213.jpg,CepillosColgate + 6 Años Barbie x 2un
7509546651057,Perfumeria,Cuidado Oral,Cremas Dentales,DENTRIFICO COLGATE LUMINOUS WHITE CARBON X 90GR,Colgate,https://supertopar.vteximg.com.br/arquivos/ids/157442/516416.jpg,DentrificoColgate Luminous White Carbon x 90gr
7509546666990,Perfumeria,Cuidado Oral,Enjuagues Bucales,enjuague bucal colgate total encias reforzadas x 500cc,Colgate,https://supertopar.vteximg.com.br/arquivos/ids/165376/516554.jpg,Enjuague Bucal Colgate Total Encias Reforzadas x 500cc
7509546668055,Perfumeria,Cuidado Oral,Cremas Dentales,DENTRIFICO COLGATE TOTAL 12 ENCIAS X 90GR,Colgate,https://supertopar.vteximg.com.br/arquivos/ids/157486/516531.jpg,Dentrifico Colgate Total 12 Encias x 90gr
7509546679525,Perfumeria,Cuidado Oral,Enjuagues Bucales,ENJUAGUE BUCAL PLAX COLGATE ODOR CONTROL X 250CC,Colgate,https://supertopar.vteximg.com.br/arquivos/ids/157461/516486.jpg,Enjuague Bucal Plax Colgate Odor Control x 250cc
7509546688152,Perfumeria,Jabones,Jabon Tocador,JABON PROTEX AVENA X3 X 90GR,Protex,https://supertopar.vteximg.com.br/arquivos/ids/157890/546104.jpg,Jabon Protex Avena X3 x 90gr
7509546692616,Perfumeria,Jabones,Jabon Tocador,JABON PROTEX AVENA+PREBIOTICOS X 125CC,Protex,https://supertopar.vteximg.com.br/arquivos/ids/158097/545329.jpg,Jabon Protex Avena+prebioticos x 125cc
7509546693736,Perfumeria,Cuidado Oral,Cepillo de Dientes e Hilo Dental,CEPILLOS COLGATE TOTAL BLANQUEADOR X 2UN,Colgate,https://supertopar.vteximg.com.br/arquivos/ids/158488/519249.jpg,Cepillos Colgate Total Blanqueador x 2un
7509546697536,Perfumeria,Jabones,Jabon Tocador,JABON PALMOLIVE KARITE X 125GR,Palmolive,https://supertopar.vteximg.com.br/arquivos/ids/158599/545328.jpg,JabonPalmolive Karite x 125gr
758890928040,Alimentos,Infusiones,Yerba Mate,YERBA DON BASILIO TRADICIONAL X 500GR,Don Basilio,https://supertopar.vteximg.com.br/arquivos/ids/163511/141506.jpg,Yerba Don Basilio Tradicional x 500gr
758890928064,Alimentos,Infusiones,Te,TE NEGRO DON BASILIO SAQUITO X 25UN,Don Basilio,https://supertopar.vteximg.com.br/arquivos/ids/163510/138280.jpg,Te Negro Don Basilio Saquito x 25un
758890928125,Alimentos,Infusiones,Yerba Mate,MATE COCIDO DON BASILIO SAQUITO X 25UN,Don Basilio,https://supertopar.vteximg.com.br/arquivos/ids/163517/141511.jpg,MateCocido Don Basilio Saquito x 25un
7591083011081,Perfumeria,Cuidado Oral,Cepillo de Dientes e Hilo Dental,CEPILLOS COLGATE SMILES 0 A 2 AÑOS,Colgate,https://supertopar.vteximg.com.br/arquivos/ids/157981/519023.jpg,Cepillos Colgate Smiles 0 a 2 Años
7610113024362,Bebidas,Bebidas Blancas y Licores,Ron y Otros,RON BACARDI CARTA BLANCA X 700CC,Bacardi,https://supertopar.vteximg.com.br/arquivos/ids/158302/310169.jpg,Ron Bacardi Carta Blanca x 700cc
7613036069724,Alimentos,Infusiones,Cafe,CAFE NESCAFE GOLD ALTA RICA X 100GR,Nescafe,https://supertopar.vteximg.com.br/arquivos/ids/161402/173303.jpg,Cafe Nescafe Gold Alta Rica x 100gr
7613036071499,Alimentos,Infusiones,Cafe,CAFE NESCAFE GOLD COLOMBIA X 100GR,Nescafe,https://supertopar.vteximg.com.br/arquivos/ids/161403/173304.jpg,Cafe Nescafe Gold Colombia x 100gr
7613287529497,Alimentos,"Chocolates, Alfajores y Golosinas",Chocolates,CHOCOLATE NESTLE CON MANI X 90GR,Nestle,https://supertopar.vteximg.com.br/arquivos/ids/160933/165693.jpg,ChocolateNestle con Mani x 90gr
762111364364,Alimentos,Infusiones,Cafe,CAFE STARBUCKS HOUSE BLEND X 250GR,Starbucks,https://supertopar.vteximg.com.br/arquivos/ids/161308/172058.jpg,Cafe Starbucks House Blend x 250gr
762111364418,Alimentos,Infusiones,Cafe,CAFE STARBUCKS DARK VERONA X 250GR,Starbucks,https://supertopar.vteximg.com.br/arquivos/ids/161309/172059.jpg,Cafe Starbucks Dark Verona x 250gr
7622201106034,Alimentos,Producción de Repositeria-Panaderia,Flanes y Gelatinas,GELATINA ROYAL SIN SABORX 14GR,Royal,https://supertopar.vteximg.com.br/arquivos/ids/160076/125264.jpg,Gelatina Royal Sin Sabor x 14gr
7622201385255,Alimentos,Galletasy Tostadas,Galletitas Dulces y Magdalenas,GALLETITAS MANON VAINILLA X 182GR,Manon,https://supertopar.vteximg.com.br/arquivos/ids/161297/169985.jpg,Galletitas Manon Vainilla x 182gr
7622201421496,Alimentos,"Chocolates, Alfajores y Golosinas",Golosinas,CHICLE BELDENT INFINIT MENTA X 7UN,Beldent,https://supertopar.vteximg.com.br/arquivos/ids/160835/164131.jpg,Chicle Beldent Infinit Menta x 7un
7622201448226,Alimentos,"Chocolates, Alfajores y Golosinas",Golosinas,CHICLEBELDENT INFINIT SPEARMINT X 7UN,Beldent,https://supertopar.vteximg.com.br/arquivos/ids/160836/164132.jpg,Chicle Beldent Infinit Spearmint x 7un
7622201448288,Alimentos,"Chocolates, Alfajores y Golosinas",Golosinas,CHICLE BELDENT INFINIT CITRUS X 7UN,Beldent,https://supertopar.vteximg.com.br/arquivos/ids/160838/164135.jpg,Chicle Beldent Infinit Citrus x 7un
