ean,pasillo,rubro,subrubro,descripcion,marca,imagen_url,nombre_dia
7798187760826,Desayuno,Galletitas y Cereales,Barras de cereal,"Las barras de frutos secos de Zafrán, Recetas Honestas, están hechas con pocos y buenos ingredientes, simples y a la vista. La barrita de almendras y coco combina frutos secos con coco en escamas para un sabor único y natural.
Una receta simple, con ingredientes reales, sin conservantes, colorantes ni saborizantes. Tu snack ideal para disfrutar cuando querés algo rico de verdad y acompañar tu rutina saludable. Probá el sabor de lo real.

. Sin gluten
. Sin conservantes, colorantes ni saborizantes artificiales
. Kosher

Maní en mitades tostado sin sal, almendras peladas, semillas de girasol peladas, azúcar mascabo, miel y coco en escamas.  
Y nada más…",ZAFRA,https://ardiaprod.vteximg.com.br/arquivos/ids/362420/Barras-de-Almendra-y-Coco-Zafran-4-Ud-_1.jpg?v=639002659319700000,Barras de Almendra y Coco Zafran 4 Ud.
7891000345528,Almacén,Comidas listas,Caldos,"Presentación: 12 unidades x 9,5gr. Total de 114gr. Caldo MAGGI - Sabor VERDURAS Los caldos MAGGI son la alternativa ideal para realzar todas tus comidas, porque son los menos salados del mercado. Incorporalos en sopas, guisos, verduras, pastas, salsa, arroz y muchos otros platos para darle cuerpo y sabor a tus preparaciones. Lográ platos más ricos, saludables y con un nivel muy bajo en sodio. ¡Probá nuestros caldos MAGGI en todos sus sabores y descubrí que no pueden faltar en tu cocina!",MAGGI,https://ardiaprod.vteximg.com.br/arquivos/ids/371635/Caldo-De-Verdura-Maggi-X-12-Ud-_1.jpg?v=639155582644500000,Caldo De Verdura Maggi X 12 Ud.
7798042870240,Almacén,Picadas,Snacks,,SIN MARCA,https://ardiaprod.vteximg.com.br/arquivos/ids/372438/Verduras-Secas-Buy---Eat-50-Gr-_1.jpg?v=639165951065830000,Verduras Secas Buy & Eat 50 Gr.
7791113003783,Desayuno,Para untar,Mermeladas,,EMETH,https://ardiaprod.vteximg.com.br/arquivos/ids/319301/Mermelada-Emeth-Frutilla-420-Gr-_1.jpg?v=638599501911630000,Mermelada Emeth Frutilla 420 Gr.
7790070411914,Almacén,Pastas y arroce,Arroce,,GALLO,https://ardiaprod.vteximg.com.br/arquivos/ids/374349/Arroz-Yamani-Estuche-Gallo-500-Gr-_1.jpg?v=639168582704030000,Arroz Yamani Estuche Gallo 500 Gr.
7791130683661,Limpieza,Limpiadores,Limpiadores de piso,,PROCENEX,https://ardiaprod.vteximg.com.br/arquivos/ids/317116/Limpiador-Liquido-para-Pisos-Procenex-Marina-900-Ml-_1.jpg?v=638599469246900000,Limpiador Líquido para Pisos Procenex Marina 900 Ml.
7509552924121,Perfumería,Cuidado del pelo,Coloración,,NUTRISSE,https://ardiaprod.vteximg.com.br/arquivos/ids/351464/Tintura-Permanente-50-Castaña-Nutrisse-1-Ud-_1.jpg?v=638845412588970000,Tintura Permanente 50 Castaña Nutrisse 1 Ud.
7791290793743,Limpieza,Cuidado de la ropa,Suavizantes,"Descubrí el nuevo Suavizante para ropa VIVERE Clásico y su revolucionaria fórmula con cápsulas de fragancia. Esta innovadora tecnología libera de forma gradual la fragancia, recargando cada fibra de tu ropa con una dosis superior de perfume que se activa con el movimiento. Sentí la suavidad que cuida tus prendas mientras la frescura perdura por mucho más tiempo. Su fórmula te da más perfume y suavidad, haciendo que cada envase rinda mucho más. La calidez y el perfume de Vivere se convierten en el complemento perfecto para acompañar los momentos más importantes de tu familia. Vivere es una dosis de fragancia y suavidad que hace que los momentos familiares duren más. El Suavizante para ropa VIVERE Clásico incorpora una innovadora tecnología de cápsulas que liberan perfume gradualmente, manteniendo tu ropa fresca por mucho más tiempo.
Descubrí las nuevas fragancias más duraderas de Vivere, diseñadas para que el perfume se quede en tu ropa y te acompañe durante todo el día.
Diseñado para que la frescura perdure, su fórmula avanzada asegura que la sensación de ropa limpia acompañe y haga más duraderos los momentos especiales que vivís en familia.
Con el Suavizante para ropa VIVERE Clásico, la fragancia deja una dosis de perfume en cada fibra de tu ropa.
La calidez y el perfume de Vivere acompaña los momentos más importantes de tu familia.
Su fórmula te da más perfume y suavidad, haciendo que cada envase rinda mucho más.",VIVERE,https://ardiaprod.vteximg.com.br/arquivos/ids/362428/Suavizante-Paara-Ropa-Vivere-Clasico-Doypack-3-Lt-_1.jpg?v=639002659399100000,Suavizante Paara Ropa Vivere Clasico Doypack 3 Lt.
7790895007392,Bebidas,Gaseosas,Pomelo,,CRUSH,https://ardiaprod.vteximg.com.br/arquivos/ids/357928/Gaseosa-Crush-Pomelo-Marillo-225-Lt-_1.jpg?v=638939019302770000,"Gaseosa Crush Pomelo Marillo 2,25 Lt."
8445291462830,Mascotas,Gatos,Alimento Seco para gatos,,CAT CHOW,https://ardiaprod.vteximg.com.br/arquivos/ids/359697/Alimento-Para-Gato-Pescado-Carne-Y-Vegetal-Cat-Chow-500-Gr-_1.jpg?v=638962043200800000,Alimento Para Gato Pescado Carne Y Vegetal Cat Chow 500 Gr.
7794000005150,Almacén,Aceites y Aderezos,Mayonesa,,HELLMANNS,https://ardiaprod.vteximg.com.br/arquivos/ids/318078/Hellmanns-Mayonesa-Tipo-Casera-232-Gr-_1.jpg?v=638599483855670000,Hellmanns Mayonesa Tipo Casera 232 Gr.
7791540053368,Bebidas,Bodega,Vino Blanco,,TERMIDOR,https://ardiaprod.vteximg.com.br/arquivos/ids/314270/Vino-Blanco-Termidor-Tradicion-brik-1-Lt-_1.jpg?v=638599425556730000,Vino Blanco Termidor Tradición brik 1 Lt.
7790950144819,Bebidas,Aperitivos,Vermouth,,GANCIA,https://ardiaprod.vteximg.com.br/arquivos/ids/312376/Aperitivo-Gancia-Hibiscus-Spritz-750-Ml-_1.jpg?v=638599399621000000,Aperitivo Gancia Hibiscus Spritz 750 Ml.
7790150150276,Desayuno,Infusiones y Endulzantes,Café,,LA VIRGINIA,https://ardiaprod.vteximg.com.br/arquivos/ids/352971/Cafe-Instantaneo-Tostado-La-Virginia-150-Gr-_1.jpg?v=638869610279600000,Cafe Instantaneo Tostado La Virginia 150 Gr.
7509552844405,Perfumería,Cuidado del pelo,Acondicionadores,"¿Pelo dañado? Fructis Goodbye Daños, con amla y biotina, refuerza el pelo y repara visiblemente el daño hasta las puntas. 84% de las puntas abiertas reparadas. Sin parabenos. 
Garnier está comprometido con Green Beauty. El shampoo de Goodbye Daños tiene fórmula vegana, es Cruelty Free y sus botellas están hechas con plástico 100% reciclado. 
Probá la rutina completa de shampoo, acondicionador y crema para peinar. 
Consejo de uso: Aplicá el shampoo sobre el pelo húmedo masajeando suavemente. Dejá actuar y enjuagá con abundante agua. Usá el acondicionador y crema para peinar de Goodbye daños para una mayor reparación del daño. 
Todos los productos de Fructis son reciclables. Enjuagalos, separalos y dejalos en un contenedor/campana verde o punto verde. TIP: si podés, sacales la etiqueta.",FRUCTIS,https://ardiaprod.vteximg.com.br/arquivos/ids/328375/Acondicionador-Fructis-Goodbye-Daños-350-Ml-_1.jpg?v=638599621184430000,Acondicionador Fructis Goodbye Daños 350 Ml.
7790411001972,Desayuno,Infusiones y Endulzantes,Yerba mate,,ROSAMONTE,https://ardiaprod.vteximg.com.br/arquivos/ids/361649/Yerba-Mate-Sauve-Paq-Natur-1-Kg-_1.jpg?v=638981919040600000,Yerba Mate Sauve Paq Natur 1 Kg.
